label	text_a
0	我的憤怒就是讓我擺脫困境，讓我找到突破的新方法
0	我的興奮是因為我對生活有著無限的熱情，我非常熱愛我的生活！
0	別人的話讓我生氣，提醒我我又在看別人了。把你的注意力放回你的心裡不要一直照顧別人！
0	我的憤怒是如此美麗！那種憤怒是充滿無限創造力更動感的能量啊！
1	我很正常
1	我對現狀很滿意
1	其實我不在乎
1	其實我不在乎
1	我很正常
0,1	我對現狀很滿意
1,2	我是個嚴肅的人，總是全力以赴，不草率。
2	應開始全面瞭解該方案。
1,3	中途，也可以稱為多方嘗試。你比你這個年齡有更多的經驗。
3	一半的方法是讓你知道什麼適合你？什麼不對？」
3,4	無論你走了多少，你一定給你留下了寶貴的經驗。
3	而現在你有了運動員的精神，電腦軟體容易開始人才，旅客的勇氣去嘗試，營銷策劃的靈巧思維
4	我理解我的不安和恐懼，我試圖告訴自己，當一種感覺發生在別人身上時，他的感受
0,4	我用敏感的特質作為觀察他人的無形工具，要表現出敏感性所附帶的負面情緒並不容易
3,4	每次罵自己之前，我都要深吸一口氣，先思考一下
4	意識到我的不安和控制慾望，我學會了告訴自己不要在意下一次我想命令別人